Nav_Date,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037
20-07-2020,209.34,30.25,195.163,423.746,207.063,40.27,234.275,119.292,244.22,38.86,56.229,49.199,122.93,37.046,97.528,25.674,28.86,51.027,33.302,18.905,22.28,66.88,379.83,11.62,215.342,101.407,9.369,292.05,120.498,54.84,680.15,11.95,39.867,556.53,79.799,34.086,145.507
21-07-2020,211.18,30.39,197.065,431.396,209.44,40.8,236.907,120.233,244.05,38.74,56.218,49.122,122.94,37.159,97.735,25.813,29.04,50.946,33.299,18.967,22.41,67.304,382.4,11.63,216.315,102.57,9.427,292.94,121.368,55.215,682.79,11.97,39.908,566.368,80.22,34.402,145.768
22-07-2020,210.8,30.21,195.719,431.626,208.803,40.73,235.688,119.699,243.97,38.77,56.282,49.067,122.75,37.183,97.92,25.716,29.03,51.148,33.166,18.878,22.41,67.502,381.53,11.59,216.344,102.123,9.396,293.51,120.892,55.47,680.97,11.9,39.904,566.498,79.951,34.208,144.968
23-07-2020,212.29,30.4,197.169,435.06,209.712,41,236.963,120.578,245.43,39.02,56.664,49.48,123.74,37.48,98.92,26.023,29.33,51.517,33.399,19.015,22.72,68.139,385.3,11.68,217.516,103.177,9.481,296.12,121.426,55.985,686.03,11.97,40.111,571.359,80.477,34.412,146.288
24-07-2020,211.64,30.28,195.914,432.25,209.295,40.77,236.499,119.893,244.78,38.88,56.418,49.191,123.92,37.3,98.634,25.887,29.28,51.498,33.325,18.967,22.65,68.102,383.17,11.56,216.156,102.667,9.446,294.12,120.818,55.747,683.53,11.9,39.728,566.076,80.402,34.26,145.521
27-07-2020,209.98,30.15,194.65,427.548,207.63,40.51,235.753,118.959,241.69,38.44,56.002,48.711,123.19,37.018,97.843,25.675,29.15,51.371,33.124,18.873,22.37,67.456,379.41,11.47,213.6,101.433,9.358,291.02,120.027,55.248,676.68,11.84,39.35,557.695,79.339,33.99,144.657
28-07-2020,212.56,30.52,197.66,430.572,210.696,40.97,238.754,120.247,243.67,38.58,56.267,48.922,124.4,37.298,98.571,25.96,29.27,51.48,33.441,18.985,22.55,67.641,383.69,11.6,215.174,102.261,9.436,292.34,120.94,55.617,685.01,11.98,39.697,561.326,80.369,34.413,146.304
29-07-2020,211.76,30.34,197.24,429.42,208.983,40.7,236.749,120.011,244.11,38.86,56.591,49.185,124.41,37.359,98.806,25.99,29.34,51.499,33.628,19.03,22.5,67.548,381.79,11.63,215.194,102.226,9.426,292.65,120.786,55.581,685.34,11.93,39.748,562.301,79.893,34.234,146.277
30-07-2020,210.15,30.25,196.54,424.258,207.648,40.39,235.158,119.517,242.29,38.79,56.459,49.177,123.43,37.182,98.662,25.757,29.2,51.273,33.631,18.966,22.45,67.393,379.93,11.62,213.331,101.165,9.405,290.43,120.327,55.323,683.72,11.89,39.482,555.217,79.284,34.011,145.956
31-07-2020,210.44,30.23,196.493,425.299,207.454,40.39,234.783,119.637,243.53,39.14,56.726,49.575,124.58,37.543,99.213,25.907,29.37,51.445,33.78,19.073,22.5,68.113,379.81,11.64,214.198,101.187,9.431,291.51,120.606,55.788,683.61,11.92,39.643,558.598,79.602,34.054,147.305
03-08-2020,207.9,29.85,194.536,421.162,204.292,39.9,232.276,118.434,243.04,39.28,56.511,49.515,124.95,37.673,99.245,26.058,29.57,51.917,34.2,19.281,22.6,69.19,376.89,11.64,212.841,100.624,9.344,289.98,119.571,55.542,676.83,11.79,39.318,555.468,78.723,33.652,146.715
04-08-2020,210.46,30.32,196.615,425.959,207.621,40.42,235.975,119.916,245.28,39.66,57.109,50.116,125.61,37.911,99.855,26.328,29.96,52.755,34.532,19.492,22.82,69.564,383.04,11.76,215.173,101.79,9.479,292.03,120.772,56.012,687.27,11.97,39.829,560.505,79.992,34.127,147.956
